N,Authors,Basin,Region,Area,Site,Elevation_m,Cyclone_name,Forest_type,Holdridge_ID,Holdridge_life_zone,MAT_MAP_ratio_X100,soil_P,Parent_material,Cyclone_frequency,Years_since_last_storm,Longitude,Latitude,Cyclone_Date,annual_pre_dates_start,annual_pre_dates_end,post_date_start,post_date_end,recovery_date_start,recovery_date_end,sub-annual_pre_dates_start,sub-annual_pre_dates_end,Cyclone_Year,MODIS_avail,annual_EVI_pre_250m,sd_annual _EVI_pre_250m,sub-annual_EVI_pre_250m,sd_sub-annual_EVI_pre_250m,EVI_post_250m,sd_post_EVI_250m,change_annual_EVI_250m,change_sub-annual_EVI_250m,annual_NDVI_pre_250m,sd_annual _NDVI_pre_250m,sub-annual_NDVI_pre_250m,sd_sub-annual_NDVI_pre_250m,NDVI_post_250m,sd_post_NDVI_250m,change_annual_NDVI_250m,change_sub-annual_NDVI_250m,annual_LAI_pre_500m,sd_annual _LAI_pre_500m,sub-annual_LAI_pre_500m,sd_sub-annual_LAI_pre_500m,LAI_post_500m,sd_post_LAI_500m,change_annual_LAI_500m,change_sub-annual_LAI_500m,Landsat 5 or 8,annual _NDVI_pre_90m,sd_annual _NDVI_pre_90m,sub-annual_NDVI_pre_90m,sd_sub-annual_NDVI_pre_90m,NDVI_post_90m,sd_post_NDVI_90m,change_annual_NDVI_90m,change_sub-annual_NDVI_90m,NDVI_recovery_avail_90m,annual_EVI_pre_90m,sd_annual _EVI_pre_90m,sub-annual_EVI_pre_90m,sd_sub-annual _EVI_pre_90m,EVI_post_90m,sd_post_EVI_90m,change_annual_EVI_90m,change_sub-annual_EVI_90m,EVI_recovery_avail_90m,annual_kNDVI_pre_90m,sd_annual _kNDVI_pre_90m,sub-annual_kNDVI_pre_90m,sd_sub-annual _kNDVI_pre_90m,kNDVI_post_90m,sd_post_kNDVI_90m,change_annual_kNDVI_90m,change_sub-annual_kNDVI_90m,kNDVI_recovery_avail_90m,change_annual_NDVI_5km,change_sub-annual_NDVI_5km,Pre_Mean_Tot_Litterfall_g/m2/day,Response_Post_Mean_Tot_Litterfall,Subannual_Pre_mean_Tot_Litterfall,Cyclone_Rainfall_mm,peak_wind_speed_ms,WMO_wind_speed_ms,D2track_km,peak enhanced Fujita scale,gale wind duration (minutes),hurricane wind duration (minutes)
27,Liao et al,Northwest Pacific,Taiwan,Southern Taiwan,Kengting IV,250,Haima,Evergreen broadleaf,2,Tropical Moist,1.095,70.5,Hengchun Limestone,0.8,0.19,120.78846,22.155172,11-Sep-04,9/10/03,9/10/04,9/12/04,9/28/04,9/12/04,9/12/06,9/10/03,9/10/04,2004,Y,5490.565217,1437.835173,7311,83,5991,0,0.091144493,-0.180549856,8516.565217,935.2218907,8837,90.5,9221,0,0.082713484,0.043453661,38.61956522,24.53074486,42,24.877478,33,26.73013281,-0.145510836,-0.214285714,5,0.639644142,0.088661364,0.666,0,-9999,-9999,-9999,-9999,Y,0.574195043,0.026606471,0.525,0,-9999,-9999,-9999,-9999,Y,0.397422347,0.088661364,0.185,0,-9999,-9999,-9999,-9999,Y,-9999,-9999,2.31,2.12,1.8,200,-9999,18,39,-9999,-9999,-9999
30,Herbert et al,Northeast Pacific,Hawaii,Hawaii,Kokee,1134,Iniki,Montane rain,6,Subtropical Lowermontane Wet,0.64,220,Basalt,0.14,9.1,-159.6333333,22.1333333,11-Sep-92,9/10/91,9/10/92,9/12/92,9/28/92,9/12/92,9/12/94,9/10/84,9/10/92,1992,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-0.245079365,-0.21102,1.16,18.87,-9999,10,44,55,3,5,1875,435
31,Harrington et al,Northeast Pacific,Hawaii,Hawaii,Kumuwela,1100,Iniki,Acacia Koa,6,Subtropical Lowermontane Wet,0.954,20,Basalt,0.14,9.1,-159.6395525,22.1657673,11-Sep-92,9/10/91,9/10/92,9/12/92,9/28/92,9/12/92,9/12/94,9/10/84,9/10/92,1992,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-0.046145494,-0.02117,1.73,124,-9999,10,44,55,3,5,1875,435
34,Wang et al,Northwest Pacific,Taiwan,Central Taiwan,Lienhuachi,550,Jangmi,Evergreen broadleaf,9,Subtropical Wet,0.945,460.9,Quartzitic sandstone,0.94,0.04,120.9,23.9,28-Sep-08,9/27/07,9/27/08,9/29/08,10/15/08,9/29/08,9/29/10,9/27/07,9/27/08,2008,Y,4643.173913,1299.419725,7529,0,4997,0,0.076203496,-0.336299641,7332.956522,1978.543458,9423,0,8625,0,0.176196801,-0.084686406,41.01086957,24.76871035,44.125,26.904635,46.5,25.69533032,0.133845746,0.053824363,5,0.608957411,0.066898564,0.654125,0.04055687,0.637469297,0.002981347,0.046820821,-0.025462569,Y,0.633877722,0.039429853,0.66225,0.05258505,0.645034605,0.00151653,0.017601002,-0.025995311,Y,0.364145308,0.066898564,0.403875,0.04451527,0.390874527,0.002981347,0.073402618,-0.032189348,Y,-9999,-9999,5.06,7.83,-9999,440,36,38.6,70,4,2370,280
35,Wang et al,Northwest Pacific,Taiwan,Central Taiwan,Lienhuachi,550,Sinlaku,Evergreen broadleaf,9,Subtropical Wet,0.945,460.9,Quartzitic sandstone,0.94,0.13,120.9,23.9,13-Sep-08,9/12/07,9/12/08,9/14/08,9/30/08,9/14/08,9/14/10,9/12/07,9/12/08,2008,Y,4694.086957,1270.810728,6535,994,4997,0,0.06453077,-0.235348125,7563.043478,1814.39216,9109,314.5,8625,0,0.140413912,-0.053134263,40.98913043,24.72214927,50.25,19.292162,33.75,28.35819987,-0.176610979,-0.328358209,5,0.600392217,0.07007396,0.655166,0.0467526,0.665345699,0.002592402,0.108185083,0.015537587,Y,0.629715823,0.0422099,0.67883,0.05076225,0.663036622,0.000297144,0.052914025,-0.023265586,Y,0.355592759,0.07007396,0.40516,0.05130762,0.420514705,0.002592402,0.18257387,0.03789788,y,-9999,-9999,5.06,11.17,-9999,860,31,33.4,133,3,6040,0
32,Wang et al,Northwest Pacific,Taiwan,Central Taiwan,Lienhuachi,550,Kalmaegi,Evergreen broadleaf,9,Subtropical Wet,0.945,460.9,Quartzitic sandstone,0.94,0.94,120.9,23.9,17-Jul-08,7/16/07,7/16/08,7/18/08,8/3/08,7/18/08,7/18/10,7/16/07,7/16/08,2008,Y,4637.304348,1336.007369,5728,681,3161,0,-0.318353991,-0.448149441,7488.478261,1969.379065,8837,127,2975,0,-0.602723024,-0.66334729,39.43010753,24.90040283,45.375,23.048522,36,28.2577423,-0.086992092,-0.20661157,5,0.618490098,0.08183232,0.666,0.02540866,0.65677262,0.006567206,0.061896742,-0.013854925,Y,0.673641004,0.053064606,0.6922,0.0389841,0.612745251,0.004227329,-0.090397931,-0.114785826,Y,0.373734693,0.08183232,0.4168,0.02743283,0.407321163,0.006567206,0.089867145,-0.022741931,Y,-0.261891117,-0.09487,5.06,10.89,-9999,580,33,25.7,66,4,1520,50
33,Wang et al,Northwest Pacific,Taiwan,Central Taiwan,Lienhuachi,550,Fungwong,Evergreen broadleaf,9,Subtropical Wet,0.945,460.9,Quartzitic sandstone,0.94,0.03,120.9,23.9,27-Jul-08,7/26/07,7/26/08,7/28/08,8/13/08,7/28/08,7/28/10,7/26/07,7/26/08,2008,Y,4637.304348,1336.007369,5728,681,6477,0,0.396716608,0.130761173,7488.478261,1969.379065,8837,127,8468,0,0.130803844,-0.041756252,39.23913043,24.95141782,41.571429,22.276555,27.25,21.82172083,-0.305540166,-0.344501725,5,0.606277433,0.076253713,0.6614,0.02254418,0.491098999,7.450580597,-0.189976449,-0.257485638,Y,0.652976547,0.052897775,0.682,0.05125232,0.573721612,0.000025167,-0.121374857,-0.158765965,Y,0.360919374,0.076253713,0.4118,0.02427674,0.247679132,7.450580597,-0.313754955,-0.39854509,Y,-9999,-9999,5.06,5.82,-9999,210,28,33.4,15,3,880,0
36,Harrington et al,Northeast Pacific,Hawaii,Hawaii,Makaha 1,500,Iniki,Acacia Koa,8,Subtropical Premontane Dry,2.671,110,Basalt,0.14,9.1,-159.7174422,22.1278173,11-Sep-92,9/10/91,9/10/92,9/12/92,9/28/92,9/12/92,9/12/94,9/10/84,9/10/92,1992,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,0.175641671,0.14342,3.34,40.67,-9999,10,43,55,8,5,1875,435
37,Harrington et al,Northeast Pacific,Hawaii,Hawaii,Milolii,800,Iniki,Acacia Koa,4,Subtropical Lowermontane Moist,1.948,110,Basalt,0.14,9.1,-159.7015457,22.1389971,11-Sep-92,9/10/91,9/10/92,9/12/92,9/28/92,9/12/92,9/12/94,9/10/84,9/10/92,1992,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,0.175641671,0.14342,2.53,39,-9999,10,43,55,10,5,1875,435
38,Herbohn & Congdon,Southwest Pacific,Australia,Australia,Mt Spec,900,Charlie,Tropical upland rain,2,Tropical Moist,1.053,130,Granite,0.31,10,146.1718421,-18.9967435,29-Feb-88,2/28/87,2/28/88,3/1/88,3/17/88,3/1/88,3/1/90,2/28/79,2/28/88,1988,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,0.683486437,0.018510722,0.704,0,-9999,-9999,-9999,-9999,Y,0.583538962,0.004653642,0.587,0,-9999,-9999,-9999,-9999,Y,0.437543558,0.018510722,0.178,0,-9999,-9999,-9999,-9999,Y,-0.281151281,-0.18633,1.57,10.12,1.56,100,27,30.9,135,3,1300,0
41,Liu et al,North Atlantic,Caribbean,Puerto Rico,Rio Abajo,355,Maria,Subtropical moist,7,Subtropical Moist,1.034,820,Limestone,0.22,0.04,-66.710583,18.329186,20-Sep-17,9/19/16,9/19/17,9/21/17,10/7/17,9/21/17,9/21/19,9/19/16,9/19/17,2017,Y,5425.26087,917.093434,4520,1710.5,3733,0,-0.311922488,-0.174115044,8479.130435,719.7135484,7270,1461,5852,0,-0.309834889,-0.195048143,47.33695652,22.30386844,48.25,18.205425,15.5,5.123475383,-0.672560276,-0.678756477,8,0.763788518,0.03638901,0.801,0,0.59192036,0,-0.22502061,-0.261023271,Y,0.797791204,0.039399031,0.825,0,0.581243556,0,-0.271433988,-0.295462356,Y,0.526549125,0.03638901,0.566,0,0.33637119,0,-0.361177953,-0.405704611,Y,-9999,-9999,7.05,2348.92,13,550,52,54,11,6,5340,1500
40,Liu et al,North Atlantic,Caribbean,Puerto Rico,Rio Abajo,355,Irma,Subtropical moist,7,Subtropical Moist,1.034,820,Limestone,0.22,2,-66.710583,18.329186,6-Sep-17,9/5/16,9/5/17,9/7/17,9/23/17,9/7/17,9/7/19,9/5/16,9/5/17,2017,Y,5431.652174,899.1754004,4593,1637,2809,0,-0.482846119,-0.388417157,8438.26087,879.1978171,6800,1931,5809,0,-0.311588005,-0.145735294,47.48913043,22.38132692,50,19.111515,34.75,21.67227492,-0.268253605,-0.305,8,0.766988061,0.035619756,0.7895,0.0115,-9999,-9999,-9999,-9999,Y,0.800314793,0.038088307,0.7965,0.0285,-9999,-9999,-9999,-9999,Y,0.530018314,0.035619756,0.567,0.008,-9999,-9999,-9999,-9999,Y,-0.38788222,-0.42069,7.05,71.35,13,550,52,75.6,130,6,4185,1485
42,Whigham et al,North Atlantic,Mexico,Mexico,San Felipe,150,Gilbert,Semideciduous dry,1,Tropical Dry,2.333,2900,Limestone,0.34,9,-86.918582,20.809657,14-Sep-88,9/13/87,9/13/88,9/15/88,10/1/88,9/15/88,9/15/90,9/13/80,9/13/88,1988,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,0.613060106,0,0.607,0.022,-9999,-9999,-9999,-9999,N,0.509074699,0,0.50306667,0.05842564,-9999,-9999,-9999,-9999,N,0.358103761,0,0.193,0.032,-9999,-9999,-9999,-9999,Y,-0.140449438,-9999,3.83,-9999,-9999,350,58,72,30,6,2670,1230
43,Lugo et al,North Atlantic,Caribbean,Puerto Rico,Utuado,416,Georges,Moist,7,Subtropical Moist,1.047,330,Noncarbonate sedimentary claystone,0.22,2,-66.7032959,18.268457,21-Sep-98,9/20/97,9/20/98,9/22/98,10/8/98,9/22/98,9/22/00,9/20/97,9/20/98,1998,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-0.401034321,-0.39101,3.64,727.9,-9999,187.5,38,47.6,30,4,2205,555
44,Gleason et al,Southwest Pacific,Australia,Australia,Wooroonooran Basalt,800,Larry,Complex Mesophyll Vine,2,Tropical Moist,0.686,1520,Basalt,0.31,9,145.7913456,-17.3530442,20-Mar-06,3/19/05,3/19/06,3/21/06,4/6/06,3/21/06,3/21/08,3/19/98,3/19/06,2006,Y,5132.26087,1067.827344,5226,949.08367,2236,0,-0.564324562,-0.572139303,8041.869565,1499.682468,8221,1241.0076,7355,0,-0.085411677,-0.105339983,43.44565217,25.18987207,40.724138,27.396069,16.5,19.44865034,-0.620215161,-0.594834886,5,0.675172539,0.031167257,0.650857143,0.042227276,-9999,-9999,-9999,-9999,Y,0.545935041,0.026851658,0.47042857,0.04647536,-9999,-9999,-9999,-9999,Y,0.427022679,0.031167257,0.176571429,0.020214328,-9999,-9999,-9999,-9999,Y,-0.695845697,-0.67015,1.73,284,-9999,220,38,51.4,25,4,1230,230
